name,url,description,duration,remote_support,adaptive_support,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Competencies | Personality & Behavior | Ability & Aptitude | Biodata & Situational Judgement
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Ability & Aptitude | Knowledge & Skills | Personality & Behavior
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Biodata & Situational Judgement | Personality & Behavior
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Biodata & Situational Judgement | Personality & Behavior
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Ability & Aptitude | Biodata & Situational Judgement | Knowledge & Skills | Personality & Behavior
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior | Simulations
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Biodata & Situational Judgement | Personality & Behavior | Simulations | Ability & Aptitude
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Personality & Behavior | Simulations | Knowledge & Skills | Biodata & Situational Judgement | Ability & Aptitude
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Ability & Aptitude | Biodata & Situational Judgement | Personality & Behavior
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Biodata & Situational Judgement | Ability & Aptitude | Personality & Behavior
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,Yes,No,Knowledge & Skills
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Personality & Behavior
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,Yes,Knowledge & Skills
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Assessment Exercises
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,If you choose to continue with your current browser we cannot guarantee your experience.,30.0,Yes,No,Simulations
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Simulations | Knowledge & Skills
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,If you choose to continue with your current browser we cannot guarantee your experience.,,Yes,No,Knowledge & Skills
